Ref,Type,Quantity,Value,Footprint,Price,Sum,SP,SPDip,SP Total,PN,URL,Description,
"ANT1,",,1,ANT_PCB_MONO_2PIN,Radio:ANT_868_IFA_SIMPLEJOY,0,0,0,0,0,,,,do not mount
"BLN1,",,1,BALUN868JOHANSON,Radio:BALUN_JOHANSON868,59,59,2,0,2,0896BM15A0001E,https://www.terraelectronica.ru/product/602137,,
"C1,",Capacitor,1,10n,Capacitors:CAP_0603,"0,3","0,3",2,0,2,CL10B103KC8NNNC,https://www.terraelectronica.ru/product/863309,,"Any Capacitor 10n case 0603, x5r or x7r or np0 isolator"
"C2, C30,",,2,100u,Capacitors:SMD_D6d3,"2,66","5,32",2,0,4,CA016M0100RED-0605,https://onelec.ru/products/ca016m0100red-0605,https://spb.terraelectronica.ru/product/574304 3.4,
"C3,",Capacitor,1,2u2,Capacitors:CAP_0603,"0,58","0,58",2,0,2,CL10A225KQ8NNNC,https://www.terraelectronica.ru/product/863292,,"Any Capacitor 2u2 case 0603, x5r or x7r or np0 isolator"
"C6, C70, C41, C71, C42, C44, C73, C72, C43, C46, C76, C75, C74, C45, C47, C114, C144, C143, C116, C145, C142, C113, C118, C148, C147, C146, C115, C117, C119, C216, C214, C188, C186, C217, C215, C185, C191, C189, C218, C187, C220, C190, C219, C291, C262, C292, C259, C290, C261, C263, C257, C287, C289, C258, C260, C286, C288, C49, C79, C78, C51, C80, C77, C226, C197, C227, C194, C225, C196, C198, C48, C53, C83, C82, C81, C50, C52, C54, C192, C121, C150, C123, C151, C152, C149, C120, C125, C155, C154, C153, C124, C122, C126, C222, C224, C193, C195, C221, C223, C299, C298, C269, C266, C297, C268, C265, C264, C294, C270, C296, C267, C293, C295, C5, C29, C328, C344, C343, C329, C331, C346, C345, C330, C347, C349, C334, C332, C348, C333,",,129,10u,Capacitors:CAP_0805 25,"3,17","408,93",2,0,258,CC0805KKX5R6BB106,https://onelec.ru/products/cc0805kkx5r6bb106,https://spb.terraelectronica.ru/product/573665 4.0,
"C8, C15, C4, C11,",Capacitor,4,18pF,Capacitors:CAP_0603,"0,27","1,08",2,0,8,CC0603JRNPO9BN180,https://www.terraelectronica.ru/product/326939,,"Any Capacitor 18pF case 0603, x5r or x7r or np0 isolator"
"C23, C40, C69, C112, C141, C184, C213, C256, C285, C335,",,10,1000u,Capacitors:CAP_10xxR,"4,34","43,4",2,0,20,JRB1E102M05001000210000B,https://onelec.ru/products/jrb1e102m05001000210000b,,
"C25, C12, C18, C20, C16, C9, C21, C14, C40, C37, C39, C36, C34, C32, C99, C100, C102, C101, C104, C103, C105, C172, C174, C171, C176, C173, C177, C175, C246, C244, C245, C247, C249, C243, C248, C320, C315, C321, C319, C317, C316, C318, C107, C109, C255, C250, C256, C254, C252, C106, C111, C108, C112, C110, C181, C179, C178, C183, C182, C184, C180, C251, C253, C327, C326, C328, C322, C324, C325, C323, C28, C361, C359, C364, C360, C362, C363, C358, C10, C13, C17, C19, C22, C24, C26, C27,",Capacitor,23,0.1u,Capacitors:CAP_0603,"0,27","6,21",2,0,46,CL10B104KB8NNND,https://www.terraelectronica.ru/product/863315,,"Any Capacitor 0.1u case 0603, x5r or x7r or np0 isolator"
"C25, C12, C18, C20, C16, C9, C21, C14, C39, C37, C38, C36, C34, C32, C28, C10, C13, C19, C22, C24, C26, C27, C17,",Capacitor,65,1u,Capacitors:CAP_0603,"0,34","22,1",2,0,130,CL10A105KA8NNNC,https://www.terraelectronica.ru/product/882689,,"Any Capacitor 1u case 0603, x5r or x7r or np0 isolator"
"C33,",Capacitor,1,100pF,Capacitors:CAP_0402,"0,13","0,13",2,0,2,CC0402KRX7R9BB101,https://www.terraelectronica.ru/product/1910184,,"Any Capacitor 100pF case 0402, x5r or x7r or np0 isolator"
"C35,",Capacitor,1,2pF,Capacitors:CAP_0402,"0,22","0,22",2,0,2,CC0402BRNPO9BN2R2,https://www.terraelectronica.ru/product/1640553,,"Any Capacitor 2pF case 0402, x5r or x7r or np0 isolator"
"C38,",,1,DoNotMount,Capacitors:CAP_0402,0,0,0,0,0,-,-,,do not mount
"D1, D2,",PN,2,PMEG2020,Diodes:SOD323,"5,5",11,2,0,4,PMEG2020EJ.115,https://www.terraelectronica.ru/product/192057,,
"D3, D4, D5, D6, D7, D8, D10, D9, D11,",,9,LED,LEDs:LED_0805,"2,6","23,4",2,0,18,L-C170GCT,https://www.terraelectronica.ru/product/197403,красные,
"D12,",,1,LED,LEDs:LED_0603,,0,2,0,2,L-C191KGCT,https://www.terraelectronica.ru/product/1042561,Цвет?,
"DA1,",,1,ST1S10,SO_DIL_TSSOP:SO8HEATSINK,"52,89","52,89",8,0,8,ST1S10PUR,https://onelec.ru/products/st1s10pur,,
